model,metric,label_code,data,pipe_name,pred_id
rf,kappa,,0.48897487442424536,none_none,manual_ndvi_2
rf,producer_acc,1.0,0.7418032786885246,none_none,manual_ndvi_2
rf,producer_acc,2.0,0.21276595744680848,none_none,manual_ndvi_2
rf,producer_acc,3.0,0.7543859649122807,none_none,manual_ndvi_2
rf,producer_acc,4.0,0.5956284153005464,none_none,manual_ndvi_2
rf,producer_acc,6.0,0.2857142857142857,none_none,manual_ndvi_2
rf,producer_acc,7.0,0.1067415730337079,none_none,manual_ndvi_2
rf,producer_acc,11.0,0.7142857142857143,none_none,manual_ndvi_2
rf,producer_acc,12.0,0.8,none_none,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,none_none,manual_ndvi_2
rf,producer_acc,14.0,0.6458333333333333,none_none,manual_ndvi_2
rf,producer_acc,16.0,0.75,none_none,manual_ndvi_2
rf,producer_acc,17.0,0.6363636363636364,none_none,manual_ndvi_2
rf,producer_acc,20.0,0.9767441860465116,none_none,manual_ndvi_2
rf,user_acc,1.0,0.6908396946564885,none_none,manual_ndvi_2
rf,user_acc,2.0,0.4225352112676056,none_none,manual_ndvi_2
rf,user_acc,3.0,0.3257575757575758,none_none,manual_ndvi_2
rf,user_acc,4.0,0.694267515923567,none_none,manual_ndvi_2
rf,user_acc,6.0,0.34375,none_none,manual_ndvi_2
rf,user_acc,7.0,0.4222222222222223,none_none,manual_ndvi_2
rf,user_acc,11.0,0.2678571428571429,none_none,manual_ndvi_2
rf,user_acc,12.0,0.3389830508474576,none_none,manual_ndvi_2
rf,user_acc,13.0,0.6,none_none,manual_ndvi_2
rf,user_acc,14.0,0.41891891891891897,none_none,manual_ndvi_2
rf,user_acc,16.0,0.2727272727272727,none_none,manual_ndvi_2
rf,user_acc,17.0,0.21875,none_none,manual_ndvi_2
rf,user_acc,20.0,0.8936170212765957,none_none,manual_ndvi_2
svm,overall_accuracy,,0.5280701754385965,none_none,manual_ndvi_2
svm,balanced_accuracy,,0.6148678308500701,none_none,manual_ndvi_2
svm,kappa,,0.47033296342195374,none_none,manual_ndvi_2
svm,producer_acc,1.0,0.7377049180327868,none_none,manual_ndvi_2
svm,producer_acc,2.0,0.16312056737588654,none_none,manual_ndvi_2
