ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,184.0,181.0,377.0,353.0,2353.0,1157.0,625.0,184.0,181.0,377.0,353.0,2353.0,1157.0,625.0,341.7635803222656,1094.0,98.0,23.420324325561523,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,138.0,144.0,375.0,297.0,2477.0,1112.0,564.0,138.0,144.0,375.0,297.0,2477.0,1112.0,564.0,340.9062194824219,1110.0,108.0,20.755125045776367,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,1480.0,1561.0,1706.5,1595.0,3237.5,2286.0,1557.5,1480.0,1561.0,1706.5,1595.0,3237.5,2286.0,1557.5,84.28804016113281,1052.0,117.0,17.84182357788086,1.0
4.0,4,2009.0,Digitized,,,p11_1,63.0,51.0,288.0,242.0,2521.0,1111.0,602.0,1234.3334,1300.3334,1447.6666,1340.0,3179.6667,2050.6667,1316.3334,1234.3334,1300.3334,1447.6666,1340.0,3179.6667,2050.6667,1316.3334,340.8807678222656,1027.0,166.0,5.505183696746826,1.0
4.0,4,2009.0,Digitized,,,p11_1,89.5,78.0,248.5,203.5,1873.0,892.5,477.5,528.0,560.5,731.0,574.0,2963.5,1307.5,617.0,528.0,560.5,731.0,574.0,2963.5,1307.5,617.0,43.08411407470703,1006.0,114.0,23.28754997253418,1.0
4.0,4,2009.0,Digitized,,,p11_1,137.0,131.0,277.0,239.0,1814.0,862.0,404.0,1107.5,1185.0,1401.0,1204.0,3020.5,1934.5,1284.5,1107.5,1185.0,1401.0,1204.0,3020.5,1934.5,1284.5,63.89559555053711,930.0,157.0,9.414015769958496,1.0
4.0,4,2009.0,Digitized,,,p11_1,,,,,,,,885.6667,948.3333,1149.3334,1003.6667,2804.3333,1661.3334,1015.6667,885.6667,948.3333,1149.3334,1003.6667,2804.3333,1661.3334,1015.6667,316.25592041015625,989.0,113.0,18.860984802246094,1.0
4.0,4,2009.0,Digitized,,,p11_1,32.0,,18.0,,208.0,100.0,,1014.0,1062.3334,1224.3334,1129.0,2924.0,1767.0,1173.0,1014.0,1062.3334,1224.3334,1129.0,2924.0,1767.0,1173.0,36.279972076416016,874.0,117.0,20.854366302490234,1.0
4.0,4,2009.0,Digitized,,,p11_1,111.0,96.5,213.5,207.5,1683.0,784.5,375.5,921.5,985.5,1172.0,1012.0,2939.5,1772.0,1030.0,921.5,985.5,1172.0,1012.0,2939.5,1772.0,1030.0,58.1033821105957,892.0,124.0,16.34151840209961,1.0
4.0,4,2009.0,Digitized,,,p11_1,18.0,55.0,334.0,342.0,2036.0,1016.0,434.0,419.33334,490.0,819.3333,767.3333,3154.6667,1680.3334,889.3333,419.33334,490.0,819.3333,767.3333,3154.6667,1680.3334,889.3333,65.62222290039062,1096.0,134.0,23.84918212890625,1.0
